PLAYER_NAME,DEF_RATING
Svi Mykhailiuk,144.9
Tomas Satoransky,143.4
Isaiah Stewart,140.6
Tim Hardaway Jr.,131.1
Kyle Lowry,129.1
De'Andre Hunter,129.0
Jalen Brunson,129.0
Patrick Beverley,128.1
D'Angelo Russell,127.7
Serge Ibaka,127.7
DeAndre' Bembry,127.7
Kawhi Leonard,126.2
Stanley Johnson,126.0
Cory Joseph,124.7
Draymond Green,124.4
Damion Lee,124.1
Ja Morant,122.9
Zach LaVine,122.8
Dorian Finney-Smith,122.6
Alex Len,122.5
Kevin Huerter,122.4
Jerami Grant,122.3
Saddiq Bey,120.1
Patrick Williams,119.8
Maxi Kleber,119.8
Anthony Edwards,119.6
Nicolas Batum,119.6
Karl-Anthony Towns,119.4
Trae Young,119.3
John Collins,119.1
De'Aaron Fox,118.9
Delon Wright,118.9
Jonas Valanciunas,118.7
Desmond Bane,118.7
Kelly Oubre Jr.,118.4
Stephen Curry,118.2
Andrew Wiggins,118.1
Kent Bazemore,117.9
Derrick White,117.6
Edmond Sumner,117.5
Donovan Mitchell,117.5
Brook Lopez,117.4
Christian Wood,117.3
Josh Jackson,117.3
Marcus Morris Sr.,117.0
Fred VanVleet,116.8
Buddy Hield,116.8
Harrison Barnes,116.7
Markieff Morris,116.7
PJ Dozier,116.7
Paul George,116.7
Bruce Brown,116.5
Josh Richardson,116.4
P.J. Tucker,116.2
Naz Reid,116.0
Mason Plumlee,115.9
Robert Williams III,115.9
Jarrett Allen,115.8
Josh Okogie,115.7
Davis Bertans,115.5
Luka Doncic,115.4
Kemba Walker,115.2
Khem Birch,115.1
Cedi Osman,115.1
DeMar DeRozan,115.1
LaMarcus Aldridge,114.9
Isaac Okoro,114.9
Pascal Siakam,114.8
Kendrick Nunn,113.9
Jamal Murray,113.9
Chris Paul,113.8
OG Anunoby,113.7
Jaden McDaniels,113.6
Dejounte Murray,113.6
Wendell Carter Jr.,113.4
Monte Morris,113.2
Kevin Durant,113.1
Grayson Allen,112.6
Jaylen Brown,112.5
Deni Avdija,112.3
Devin Booker,112.3
Thaddeus Young,112.2
Jrue Holiday,112.2
Al Horford,112.1
Jakob Poeltl,112.0
Kristaps Porzingis,112.0
Semi Ojeleye,111.9
Dillon Brooks,111.9
Malik Beasley,111.4
Grant Williams,111.4
Kevon Looney,111.3
Chris Boucher,111.2
Keldon Johnson,111.1
Marcus Smart,111.0
Tyrese Haliburton,110.9
Tony Snell,110.8
Reggie Jackson,110.8
Wayne Ellington,110.8
Terance Mann,110.7
Bradley Beal,110.4
Jae'Sean Tate,110.4
Steven Adams,110.4
Darius Bazley,110.1
Danilo Gallinari,110.1
Gary Harris,110.0
Jae Crowder,110.0
Kyle Anderson,109.6
James Harden,109.6
Myles Turner,109.6
Terrence Ross,109.6
Nickeil Alexander-Walker,109.6
Ricky Rubio,109.5
Derrick Rose,109.4
Otto Porter Jr.,109.3
Russell Westbrook,109.3
Mikal Bridges,109.2
Jayson Tatum,109.2
Richaun Holmes,109.2
Jeff Green,109.1
Will Barton,109.0
Brandon Ingram,109.0
Jarred Vanderbilt,108.8
Derrick Favors,108.3
Lauri Markkanen,108.3
Anfernee Simons,108.1
Goran Dragic,108.0
Royce O'Neale,108.0
Garrett Temple,107.8
